Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,Sno_x,NumPrimaryHealthCenters_HMIS,NumCommunityHealthCenters_HMIS,NumSubDistrictHospitals_HMIS,NumDistrictHospitals_HMIS,TotalPublicHealthFacilities_HMIS,NumPublicBeds_HMIS,NumRuralHospitals_NHP18,NumRuralBeds_NHP18,NumUrbanHospitals_NHP18,NumUrbanBeds_NHP18,Sno_y,Population,Rural population,Urban population,Area,Density,Gender Ratio
605,03-04-2020,6:00 PM,Madhya Pradesh,-,-,0,6,104,20,1420,324,72,51,1867,38140,334,10020,117,18819,5,72626809,52557404,20069405,"308,245 km2 (119,014 sq mi)",236/km2 (610/sq mi),931
606,03-04-2020,6:00 PM,Maharashtra,-,-,42,16,335,21,2638,430,101,70,3239,68998,273,12398,438,39048,2,112374333,61556074,50818259,"307,713 km2 (118,809 sq mi)",365/km2 (950/sq mi),929
607,03-04-2020,6:00 PM,Manipur,-,-,0,0,2,22,87,17,1,9,114,2562,23,730,7,697,23,2570390,1793875,776515,"22,327 km2 (8,621 sq mi)",122/km2 (320/sq mi),992
608,03-04-2020,6:00 PM,Mizoram,-,-,0,0,1,24,65,10,3,9,87,2312,56,604,34,1393,27,1097206,525435,571771,"21,081 km2 (8,139 sq mi)",52/km2 (130/sq mi),976
609,03-04-2020,6:00 PM,Odisha,-,-,0,0,5,26,1360,377,27,35,1799,16497,1655,6339,149,12180,11,41974218,34970562,7003656,"155,707 km2 (60,119 sq mi)",269/km2 (700/sq mi),979
610,03-04-2020,6:00 PM,Puducherry,-,-,1,0,5,27,40,4,5,4,53,4462,3,96,11,3473,31,1247953,395200,852753,479 km2 (185 sq mi),"2,598/km2 (6,730/sq mi)",1037
611,03-04-2020,6:00 PM,Punjab,-,-,1,5,48,28,521,146,47,28,742,13527,510,5805,172,12128,16,27743338,17344192,10399146,"50,362 km2 (19,445 sq mi)","550/km2 (1,400/sq mi)",895
612,03-04-2020,6:00 PM,Rajasthan,-,-,3,0,167,29,2463,579,64,33,3139,51844,602,21088,150,10760,7,68548437,51500352,17048085,"342,239 km2 (132,139 sq mi)",201/km2 (520/sq mi),928
613,03-04-2020,6:00 PM,Tamil Nadu,-,-,6,1,309,31,1854,385,310,32,2581,72616,692,40179,525,37353,6,72147030,37229590,34917440,"130,058 km2 (50,216 sq mi)","555/km2 (1,440/sq mi)",996
614,03-04-2020,6:00 PM,Telengana,-,-,1,7,158,,,,,,,,,,,,,,,,,,
615,03-04-2020,6:00 PM,Uttarakhand,-,-,2,0,10,35,275,69,19,20,383,6660,410,3284,50,5228,19,10086292,7036954,3049338,"53,483 km2 (20,650 sq mi)",189/km2 (490/sq mi),963
616,03-04-2020,6:00 PM,Uttar Pradesh,-,-,14,2,172,34,3277,671,,174,4122,58310,4442,39104,193,37156,1,199812341,155317278,44495063,"240,928 km2 (93,023 sq mi)","828/km2 (2,140/sq mi)",912
617,03-04-2020,6:00 PM,West Bengal,-,-,3,3,63,36,1374,406,70,55,1905,51163,1272,19684,294,58882,4,91276115,62183113,29093002,"88,752 km2 (34,267 sq mi)","1,029/km2 (2,670/sq mi)",953
618,03-04-2020,6:00 PM,Unassigned,-,-,0,0,77,,,,,,,,,,,,,,,,,,
