Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,NumPrimaryHealthCenters_HMIS,NumCommunityHealthCenters_HMIS,NumSubDistrictHospitals_HMIS,NumDistrictHospitals_HMIS,TotalPublicHealthFacilities_HMIS,NumPublicBeds_HMIS,NumRuralHospitals_NHP18,NumRuralBeds_NHP18,NumUrbanHospitals_NHP18,NumUrbanBeds_NHP18,Population,Rural population,Urban population,Area,Density,Gender Ratio
23,21-02-2020,6:00 PM,Kerala,3,0,0,0,3,933.0,229.0,82.0,53.0,1297.0,39511.0,981.0,16865.0,299.0,21139.0,33406061.0,17471135.0,15934926.0,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084.0
24,22-02-2020,6:00 PM,Kerala,3,0,0,0,3,933.0,229.0,82.0,53.0,1297.0,39511.0,981.0,16865.0,299.0,21139.0,33406061.0,17471135.0,15934926.0,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084.0
25,23-02-2020,6:00 PM,Kerala,3,0,0,0,3,933.0,229.0,82.0,53.0,1297.0,39511.0,981.0,16865.0,299.0,21139.0,33406061.0,17471135.0,15934926.0,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084.0
26,24-02-2020,6:00 PM,Kerala,3,0,0,0,3,933.0,229.0,82.0,53.0,1297.0,39511.0,981.0,16865.0,299.0,21139.0,33406061.0,17471135.0,15934926.0,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084.0
27,25-02-2020,6:00 PM,Kerala,3,0,0,0,3,933.0,229.0,82.0,53.0,1297.0,39511.0,981.0,16865.0,299.0,21139.0,33406061.0,17471135.0,15934926.0,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084.0
28,26-02-2020,6:00 PM,Kerala,3,0,0,0,3,933.0,229.0,82.0,53.0,1297.0,39511.0,981.0,16865.0,299.0,21139.0,33406061.0,17471135.0,15934926.0,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084.0
29,27-02-2020,6:00 PM,Kerala,3,0,0,0,3,933.0,229.0,82.0,53.0,1297.0,39511.0,981.0,16865.0,299.0,21139.0,33406061.0,17471135.0,15934926.0,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084.0
30,28-02-2020,6:00 PM,Kerala,3,0,0,0,3,933.0,229.0,82.0,53.0,1297.0,39511.0,981.0,16865.0,299.0,21139.0,33406061.0,17471135.0,15934926.0,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084.0
31,29-02-2020,6:00 PM,Kerala,3,0,0,0,3,933.0,229.0,82.0,53.0,1297.0,39511.0,981.0,16865.0,299.0,21139.0,33406061.0,17471135.0,15934926.0,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084.0
32,01-03-2020,6:00 PM,Kerala,3,0,0,0,3,933.0,229.0,82.0,53.0,1297.0,39511.0,981.0,16865.0,299.0,21139.0,33406061.0,17471135.0,15934926.0,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084.0
33,02-03-2020,6:00 PM,Telengana,1,0,0,0,1,788.0,82.0,47.0,15.0,932.0,17358.0,802.0,7668.0,61.0,13315.0,,,,,,
34,02-03-2020,6:00 PM,Kerala,3,0,0,0,3,933.0,229.0,82.0,53.0,1297.0,39511.0,981.0,16865.0,299.0,21139.0,33406061.0,17471135.0,15934926.0,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084.0
35,02-03-2020,6:00 PM,Delhi,1,0,0,0,1,534.0,25.0,9.0,47.0,615.0,20572.0,0.0,0.0,109.0,24383.0,16787941.0,419042.0,16368899.0,"1,484 km2 (573 sq mi)","11,297/km2 (29,260/sq mi)",868.0
36,03-03-2020,6:00 PM,Telengana,1,0,0,0,1,788.0,82.0,47.0,15.0,932.0,17358.0,802.0,7668.0,61.0,13315.0,,,,,,
37,03-03-2020,6:00 PM,Rajasthan,0,1,0,0,1,2463.0,579.0,64.0,33.0,3139.0,51844.0,602.0,21088.0,150.0,10760.0,68548437.0,51500352.0,17048085.0,"342,239 km2 (132,139 sq mi)",201/km2 (520/sq mi),928.0
38,03-03-2020,6:00 PM,Kerala,3,0,3,0,3,933.0,229.0,82.0,53.0,1297.0,39511.0,981.0,16865.0,299.0,21139.0,33406061.0,17471135.0,15934926.0,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084.0
39,03-03-2020,6:00 PM,Delhi,1,0,0,0,1,534.0,25.0,9.0,47.0,615.0,20572.0,0.0,0.0,109.0,24383.0,16787941.0,419042.0,16368899.0,"1,484 km2 (573 sq mi)","11,297/km2 (29,260/sq mi)",868.0
40,04-03-2020,6:00 PM,Uttar Pradesh,6,0,0,0,6,3277.0,671.0,,174.0,4122.0,58310.0,4442.0,39104.0,193.0,37156.0,199812341.0,155317278.0,44495063.0,"240,928 km2 (93,023 sq mi)","828/km2 (2,140/sq mi)",912.0
41,04-03-2020,6:00 PM,Kerala,3,0,3,0,3,933.0,229.0,82.0,53.0,1297.0,39511.0,981.0,16865.0,299.0,21139.0,33406061.0,17471135.0,15934926.0,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084.0
42,04-03-2020,6:00 PM,Haryana,0,2,0,0,2,500.0,131.0,24.0,28.0,683.0,13841.0,609.0,6690.0,59.0,4550.0,25351462.0,16509359.0,8842103.0,"44,212 km2 (17,070 sq mi)","573/km2 (1,480/sq mi)",879.0
43,04-03-2020,6:00 PM,Delhi,1,0,0,0,1,534.0,25.0,9.0,47.0,615.0,20572.0,0.0,0.0,109.0,24383.0,16787941.0,419042.0,16368899.0,"1,484 km2 (573 sq mi)","11,297/km2 (29,260/sq mi)",868.0
44,04-03-2020,6:00 PM,Telengana,1,0,0,0,1,788.0,82.0,47.0,15.0,932.0,17358.0,802.0,7668.0,61.0,13315.0,,,,,,
45,04-03-2020,6:00 PM,Rajasthan,1,14,0,0,15,2463.0,579.0,64.0,33.0,3139.0,51844.0,602.0,21088.0,150.0,10760.0,68548437.0,51500352.0,17048085.0,"342,239 km2 (132,139 sq mi)",201/km2 (520/sq mi),928.0
46,05-03-2020,6:00 PM,Delhi,2,0,0,0,2,534.0,25.0,9.0,47.0,615.0,20572.0,0.0,0.0,109.0,24383.0,16787941.0,419042.0,16368899.0,"1,484 km2 (573 sq mi)","11,297/km2 (29,260/sq mi)",868.0
47,05-03-2020,6:00 PM,Haryana,0,2,0,0,2,500.0,131.0,24.0,28.0,683.0,13841.0,609.0,6690.0,59.0,4550.0,25351462.0,16509359.0,8842103.0,"44,212 km2 (17,070 sq mi)","573/km2 (1,480/sq mi)",879.0
